Customer ID,First Name,Last Name,Email Address,Phone Number,City,State,Country
10001,John,Doe,john.doe@example.com,(123) 456-7890,New York,NY,USA
10002,Jane,Doe,jane.doe@example.com,(234) 567-8901,Los Angeles,CA,USA
10003,David,Smith,david.smith@example.com,(345) 678-9012,Chicago,IL,USA
10004,Emily,Jones,emily.jones@example.com,(456) 789-0123,Miami,FL,USA
10005,Michael,Ng,michael.ng@example.com,(567) 890-1234,San Francisco,CA,USA
10006,Sarah,Johnson,sarah.johnson@example.com,(678) 901-2345,Boston,MA,USA
10007,Chris,Wilson,chris.wilson@example.com,(789) 012-3456,Seattle,WA,USA
10008,Emma,Johnson,emma.johnson@example.com,(890) 123-4567,Miami,FL,USA
10009,Grace,Kim,grace.kim@example.com,(901) 234-5678,Los Angeles,CA,USA
10010,Michael,Wang,michael.wang@example.com,(012) 345-6789,San Francisco,CA,USA
10011,Alex,Parker,alex.parker@example.com,(123) 456-7890,Chicago,IL,USA
