EMAIL,PHONE,STATUS,AGE_BAND
user0_3@email.com,000-000-0007,MEMBER,50
user1_3@email.com,001-001-00110,MEMBER,60
user2_1@email.com,002-002-0027,MEMBER,75
user3_1@email.com,003-003-00310,PLATINUM,45
user4_1@email.com,004-004-00410,GOLD,55
user5_1@email.com,005-005-0056,MEMBER,60
user6_1@email.com,006-006-0069,MEMBER,70
user7_1@email.com,007-007-0077,MEMBER,30
user8_2@email.com,008-008-0083,MEMBER,40
user9_1@email.com,009-009-0099,PLATINUM,65
user10_1@email.com,010-010-0108,MEMBER,65
user11_1@email.com,011-011-0118,MEMBER,30
user12_3@email.com,012-012-01210,MEMBER,60
user13_1@email.com,013-013-0139,MEMBER,40
user14_3@email.com,014-014-0148,MEMBER,50
user15_1@email.com,015-015-0152,SILVER,65
user16_1@email.com,016-016-0168,SILVER,50
user17_1@email.com,017-017-0173,PLATINUM,55
user18_2@email.com,018-018-0183,MEMBER,60
user19_2@email.com,019-019-0197,MEMBER,25
user20_3@email.com,020-020-0205,SILVER,55
user21_3@email.com,021-021-0211,SILVER,60
user22_3@email.com,022-022-0223,SILVER,65
user23_1@email.com,023-023-0232,PLATINUM,65
user24_2@email.com,024-024-0246,MEMBER,75
user25_2@email.com,025-025-0254,MEMBER,50
user26_2@email.com,026-026-0263,MEMBER,20
user27_1@email.com,027-027-0276,MEMBER,65
user28_1@email.com,028-028-0288,MEMBER,65
user29_2@email.com,029-029-0294,MEMBER,35
user30_1@email.com,030-030-0302,MEMBER,75
user31_1@email.com,031-031-0319,PLATINUM,65
user32_2@email.com,032-032-03210,MEMBER,30
user33_3@email.com,033-033-0337,MEMBER,20
user34_3@email.com,034-034-0341,MEMBER,50
user35_1@email.com,035-035-0352,SILVER,45
user36_2@email.com,036-036-03610,MEMBER,50
user37_2@email.com,037-037-0372,MEMBER,50
user38_3@email.com,038-038-0386,MEMBER,30
user39_2@email.com,039-039-0399,MEMBER,75
user40_1@email.com,040-040-04010,MEMBER,60
user41_2@email.com,041-041-0418,PLATINUM,60
user42_3@email.com,042-042-0424,PLATINUM,30
user43_1@email.com,043-043-0437,MEMBER,45
user44_1@email.com,044-044-0449,MEMBER,50
user45_3@email.com,045-045-0457,MEMBER,70
user46_3@email.com,046-046-04610,MEMBER,30
user47_1@email.com,047-047-0476,MEMBER,65
user48_1@email.com,048-048-0482,MEMBER,55
user49_3@email.com,049-049-0494,PLATINUM,45
user50_3@email.com,050-050-05010,SILVER,70
user51_3@email.com,051-051-0517,MEMBER,55
user52_1@email.com,052-052-0524,GOLD,60
user53_1@email.com,053-053-0539,MEMBER,65
user54_2@email.com,054-054-05410,MEMBER,45
user55_1@email.com,055-055-0552,MEMBER,75
user56_3@email.com,056-056-0568,SILVER,60
user57_2@email.com,057-057-0574,MEMBER,55
user58_1@email.com,058-058-0585,MEMBER,40
user59_1@email.com,059-059-0598,SILVER,40
user60_2@email.com,060-060-0609,PLATINUM,40
user61_3@email.com,061-061-0617,MEMBER,65
user62_1@email.com,062-062-0622,MEMBER,35
user63_2@email.com,063-063-0639,SILVER,35
user64_2@email.com,064-064-0647,MEMBER,35
user65_1@email.com,065-065-0657,MEMBER,35
user66_2@email.com,066-066-0662,MEMBER,30
user67_2@email.com,067-067-0672,PLATINUM,60
user68_2@email.com,068-068-0686,MEMBER,70
user69_2@email.com,069-069-0691,MEMBER,60
user70_1@email.com,070-070-0702,MEMBER,50
user71_2@email.com,071-071-07110,SILVER,35
user72_1@email.com,072-072-0726,SILVER,65
user73_3@email.com,073-073-0739,MEMBER,70
user74_1@email.com,074-074-0744,GOLD,30
user75_3@email.com,075-075-0756,MEMBER,70
user76_1@email.com,076-076-0769,SILVER,55
user77_1@email.com,077-077-0778,SILVER,55
user78_2@email.com,078-078-0784,GOLD,50
user79_2@email.com,079-079-0796,SILVER,30
user80_2@email.com,080-080-0809,MEMBER,55
user81_1@email.com,081-081-0817,GOLD,55
user82_2@email.com,082-082-0827,MEMBER,35
user83_2@email.com,083-083-0834,MEMBER,80
user84_1@email.com,084-084-0841,MEMBER,75
user85_1@email.com,085-085-0857,MEMBER,55
user86_3@email.com,086-086-0868,MEMBER,25
user87_2@email.com,087-087-08710,PLATINUM,25
user88_2@email.com,088-088-0886,MEMBER,40
user89_2@email.com,089-089-0899,MEMBER,45
user90_1@email.com,090-090-09010,MEMBER,45
user91_3@email.com,091-091-09110,MEMBER,65
user92_2@email.com,092-092-0922,SILVER,35
user93_3@email.com,093-093-0938,MEMBER,60
user94_3@email.com,094-094-09410,MEMBER,65
user95_1@email.com,095-095-09510,MEMBER,55
user96_2@email.com,096-096-0963,MEMBER,40
user97_3@email.com,097-097-0976,MEMBER,75
user98_1@email.com,098-098-0983,SILVER,35
user99_3@email.com,099-099-0998,MEMBER,55
user100_2@email.com,100-100-1005,SILVER,30
user101_2@email.com,101-101-1011,GOLD,60
user102_2@email.com,102-102-1029,MEMBER,65
user103_1@email.com,103-103-10310,MEMBER,70
user104_2@email.com,104-104-1048,PLATINUM,30
user105_1@email.com,105-105-1059,MEMBER,35
user106_3@email.com,106-106-10610,MEMBER,20
user107_2@email.com,107-107-1071,SILVER,35
user108_3@email.com,108-108-1082,SILVER,70
