EMAIL,CAMPAIGN,DEVICE_TYPE,EXP_DATE,SEC_VIEW,EXP_COST
user3_1@email.com,campaign_1,DISPLAY,2021-03-19,25,2.310000
user13_1@email.com,campaign_1,STREAMING,2021-03-04,35,0.060000
user17_1@email.com,campaign_1,STREAMING,2021-03-11,39,0.030000
user21_3@email.com,campaign_1,STREAMING,2021-04-02,15,2.500000
user24_2@email.com,campaign_3,MOBILE,2021-04-08,34,2.750000
user28_1@email.com,campaign_2,STREAMING,2021-05-30,46,2.090000
user29_2@email.com,campaign_3,STREAMING,2021-05-04,41,1.580000
user31_1@email.com,campaign_2,DISPLAY,2021-04-18,14,2.080000
user34_3@email.com,campaign_2,STREAMING,2021-04-13,31,2.130000
user41_2@email.com,campaign_1,LINEAR,2021-05-27,3,2.130000
user43_1@email.com,campaign_2,STREAMING,2021-04-11,31,1.920000
user46_3@email.com,campaign_1,STREAMING,2021-04-08,41,0.050000
user52_1@email.com,campaign_3,STREAMING,2021-05-09,35,0.900000
user53_1@email.com,campaign_3,STREAMING,2021-04-30,47,1.400000
user60_2@email.com,campaign_2,STREAMING,2021-04-26,4,0.090000
user66_2@email.com,campaign_2,STREAMING,2021-03-29,54,2.830000
user69_2@email.com,campaign_1,LINEAR,2021-05-09,4,1.230000
user70_1@email.com,campaign_1,STREAMING,2021-04-26,11,1.800000
user75_3@email.com,campaign_3,STREAMING,2021-05-23,3,0.720000
user78_2@email.com,campaign_3,MOBILE,2021-05-25,57,2.530000
user80_2@email.com,campaign_1,STREAMING,2021-05-17,35,1.660000
user96_2@email.com,campaign_3,STREAMING,2021-05-26,54,1.230000
user98_1@email.com,campaign_1,STREAMING,2021-03-05,45,0.270000
user108_3@email.com,campaign_3,STREAMING,2021-05-08,24,1.420000
user110_1@email.com,campaign_1,STREAMING,2021-03-16,14,1.690000
user114_2@email.com,campaign_3,MOBILE,2021-04-02,43,0.030000
user117_2@email.com,campaign_1,STREAMING,2021-03-28,53,1.180000
user120_3@email.com,campaign_1,STREAMING,2021-03-15,58,2.870000
user122_2@email.com,campaign_2,STREAMING,2021-05-15,38,0.330000
user123_1@email.com,campaign_2,STREAMING,2021-05-25,1,1.660000
user124_2@email.com,campaign_1,STREAMING,2021-04-15,10,1.560000
user125_2@email.com,campaign_1,MOBILE,2021-03-12,19,2.190000
user129_3@email.com,campaign_2,STREAMING,2021-05-05,42,0.280000
user130_3@email.com,campaign_1,STREAMING,2021-03-14,60,2.280000
user137_3@email.com,campaign_1,STREAMING,2021-03-06,9,0.740000
user139_3@email.com,campaign_1,MOBILE,2021-04-26,10,1.200000
user142_3@email.com,campaign_2,DISPLAY,2021-05-27,53,1.240000
user143_3@email.com,campaign_1,STREAMING,2021-04-13,29,2.240000
user147_1@email.com,campaign_1,STREAMING,2021-03-05,30,2.100000
user150_1@email.com,campaign_1,STREAMING,2021-03-09,17,0.280000
user152_3@email.com,campaign_3,LINEAR,2021-04-24,54,0.520000
user157_3@email.com,campaign_3,STREAMING,2021-05-01,8,1.060000
user163_1@email.com,campaign_1,MOBILE,2021-03-10,4,0.990000
user166_2@email.com,campaign_2,STREAMING,2021-03-22,43,1.770000
user167_2@email.com,campaign_3,STREAMING,2021-03-02,46,1.050000
user169_2@email.com,campaign_1,STREAMING,2021-03-11,7,0.590000
user178_2@email.com,campaign_3,STREAMING,2021-03-08,35,0.960000
user182_2@email.com,campaign_2,STREAMING,2021-03-04,8,2.680000
user184_3@email.com,campaign_3,STREAMING,2021-05-05,43,0.690000
user187_2@email.com,campaign_1,STREAMING,2021-05-25,51,0.520000
user199_2@email.com,campaign_3,MOBILE,2021-04-24,3,0.930000
user200_2@email.com,campaign_1,STREAMING,2021-03-04,53,1.330000
user203_1@email.com,campaign_3,STREAMING,2021-05-15,2,0.630000
user208_2@email.com,campaign_1,STREAMING,2021-04-16,2,0.050000
user226_3@email.com,campaign_3,STREAMING,2021-05-08,10,1.870000
user227_1@email.com,campaign_3,MOBILE,2021-05-18,14,2.710000
user228_2@email.com,campaign_2,STREAMING,2021-04-18,60,2.070000
user235_1@email.com,campaign_1,DISPLAY,2021-03-11,7,1.410000
user242_2@email.com,campaign_1,STREAMING,2021-04-03,24,1.720000
user256_2@email.com,campaign_1,STREAMING,2021-03-23,31,1.980000
user257_2@email.com,campaign_2,STREAMING,2021-05-24,1,0.310000
user261_3@email.com,campaign_2,DISPLAY,2021-05-20,33,1.490000
user262_1@email.com,campaign_2,LINEAR,2021-05-11,7,0.440000
user267_2@email.com,campaign_2,STREAMING,2021-04-20,9,1.570000
user268_2@email.com,campaign_1,STREAMING,2021-04-21,45,0.470000
user269_1@email.com,campaign_3,STREAMING,2021-04-03,18,0.670000
user270_3@email.com,campaign_3,STREAMING,2021-05-28,41,2.530000
user275_3@email.com,campaign_2,STREAMING,2021-03-17,51,2.280000
user282_1@email.com,campaign_3,STREAMING,2021-04-10,47,0.200000
user286_3@email.com,campaign_3,DISPLAY,2021-04-17,25,0.340000
user289_3@email.com,campaign_1,STREAMING,2021-04-26,44,0.290000
user301_1@email.com,campaign_2,STREAMING,2021-04-21,4,0.540000
user302_3@email.com,campaign_1,STREAMING,2021-05-25,25,0.440000
user303_3@email.com,campaign_1,STREAMING,2021-04-22,24,0.830000
user310_2@email.com,campaign_2,STREAMING,2021-03-27,54,0.520000
user311_3@email.com,campaign_1,STREAMING,2021-03-15,31,1.010000
user313_2@email.com,campaign_1,STREAMING,2021-03-02,10,0.950000
user314_1@email.com,campaign_1,MOBILE,2021-04-23,2,2.970000
user316_3@email.com,campaign_3,DISPLAY,2021-03-27,11,0.300000
user319_2@email.com,campaign_1,LINEAR,2021-04-16,43,2.540000
user331_3@email.com,campaign_1,STREAMING,2021-05-10,6,1.660000
user337_3@email.com,campaign_1,STREAMING,2021-04-07,37,1.590000
user347_2@email.com,campaign_1,MOBILE,2021-05-17,18,1.170000
user359_2@email.com,campaign_3,STREAMING,2021-05-06,6,2.220000
user366_2@email.com,campaign_3,STREAMING,2021-05-01,45,2.900000
user368_1@email.com,campaign_2,STREAMING,2021-04-27,57,1.550000
user382_2@email.com,campaign_3,MOBILE,2021-03-02,53,1.650000
user400_1@email.com,campaign_2,STREAMING,2021-03-26,21,0.780000
user407_3@email.com,campaign_1,STREAMING,2021-04-04,21,0.960000
user409_3@email.com,campaign_2,STREAMING,2021-03-22,53,2.250000
user423_1@email.com,campaign_1,STREAMING,2021-05-25,36,0.880000
user424_3@email.com,campaign_1,STREAMING,2021-05-20,56,0.320000
user425_2@email.com,campaign_3,STREAMING,2021-03-10,45,2.450000
user427_1@email.com,campaign_3,STREAMING,2021-05-08,54,2.640000
user429_2@email.com,campaign_3,STREAMING,2021-04-18,57,0.320000
user437_2@email.com,campaign_3,STREAMING,2021-04-28,34,2.850000
user441_1@email.com,campaign_1,STREAMING,2021-03-02,35,2.610000
user449_2@email.com,campaign_1,STREAMING,2021-05-17,57,0.080000
user450_3@email.com,campaign_1,STREAMING,2021-05-23,15,1.300000
user451_1@email.com,campaign_1,STREAMING,2021-04-30,58,2.250000
user453_2@email.com,campaign_2,STREAMING,2021-04-13,36,1.930000
user459_3@email.com,campaign_2,MOBILE,2021-05-11,29,0.610000
user463_1@email.com,campaign_3,STREAMING,2021-04-18,24,2.660000
user467_2@email.com,campaign_1,STREAMING,2021-03-10,2,2.300000
user472_1@email.com,campaign_3,STREAMING,2021-03-18,52,0.220000
user475_1@email.com,campaign_1,STREAMING,2021-05-04,8,0.490000
user486_2@email.com,campaign_1,STREAMING,2021-05-07,5,1.240000
user491_2@email.com,campaign_2,STREAMING,2021-05-20,42,0.400000
user493_1@email.com,campaign_1,MOBILE,2021-05-04,55,2.500000
user497_2@email.com,campaign_3,MOBILE,2021-03-14,36,0.050000
user499_3@email.com,campaign_1,STREAMING,2021-04-24,15,2.310000
user508_2@email.com,campaign_3,STREAMING,2021-03-07,19,1.810000
user511_1@email.com,campaign_3,STREAMING,2021-03-18,27,1.030000
user512_3@email.com,campaign_2,STREAMING,2021-05-14,23,1.290000
user520_2@email.com,campaign_1,STREAMING,2021-05-21,1,2.550000
user522_2@email.com,campaign_2,STREAMING,2021-04-13,53,1.780000
user532_2@email.com,campaign_1,STREAMING,2021-04-27,57,0.520000
user549_2@email.com,campaign_1,STREAMING,2021-04-05,52,1.790000
user552_1@email.com,campaign_1,STREAMING,2021-04-26,46,0.190000
user553_3@email.com,campaign_3,LINEAR,2021-04-06,40,0.340000
