EMAIL,PHONE,PETS,ZIP
user0_3@email.com,000-000-0005,DOG,51500
user1_2@email.com,001-001-0011,BIRD,20500
user2_1@email.com,002-002-0023,DOG,77300
user3_3@email.com,003-003-0033,DOG,77800
user4_3@email.com,004-004-0042,DOG,55300
user5_2@email.com,005-005-0059,DOG,22700
user6_2@email.com,006-006-0068,CAT,20600
user7_1@email.com,007-007-0077,CAT,23200
user8_1@email.com,008-008-0085,DOG,63400
user9_2@email.com,009-009-0091,DOG,64100
user10_1@email.com,010-010-0109,DOG,73100
user11_2@email.com,011-011-0115,DOG,60100
user12_2@email.com,012-012-0126,DOG,47600
user13_1@email.com,013-013-0139,DOG,34200
user14_1@email.com,014-014-0143,DOG,29500
user15_1@email.com,015-015-0153,DOG,38600
user16_1@email.com,016-016-0165,DOG,52800
user17_1@email.com,017-017-0173,CAT,60000
user18_2@email.com,018-018-0185,DOG,75200
user19_2@email.com,019-019-0193,CAT,52800
user20_2@email.com,020-020-0207,DOG,61700
user21_2@email.com,021-021-0219,DOG,61800
user22_1@email.com,022-022-0228,DOG,75100
user23_3@email.com,023-023-0239,DOG,62700
user24_2@email.com,024-024-0244,DOG,32700
user25_1@email.com,025-025-0255,DOG,68600
user26_2@email.com,026-026-0262,CAT,38600
user27_1@email.com,027-027-0276,DOG,52200
user28_3@email.com,028-028-0285,DOG,33300
user29_2@email.com,029-029-02910,BIRD,53000
user30_1@email.com,030-030-0302,DOG,27200
user31_2@email.com,031-031-0313,DOG,76300
user32_1@email.com,032-032-0321,DOG,48800
user33_2@email.com,033-033-0335,DOG,50100
user34_1@email.com,034-034-0345,DOG,77400
user35_1@email.com,035-035-0353,DOG,42100
user36_3@email.com,036-036-0362,BIRD,31400
user37_1@email.com,037-037-0375,DOG,63400
user38_2@email.com,038-038-0385,DOG,45600
user39_1@email.com,039-039-0398,DOG,65600
user40_2@email.com,040-040-0406,DOG,78700
user41_2@email.com,041-041-0417,DOG,72500
user42_2@email.com,042-042-04210,DOG,20900
user43_3@email.com,043-043-0432,DOG,74800
user44_2@email.com,044-044-0441,DOG,23000
user45_2@email.com,045-045-0456,DOG,59200
user46_2@email.com,046-046-0468,DOG,28700
user47_3@email.com,047-047-04710,DOG,29900
user48_2@email.com,048-048-0482,DOG,32300
user49_1@email.com,049-049-0495,DOG,29500
user50_3@email.com,050-050-0505,CAT,64900
user51_2@email.com,051-051-0516,DOG,35600
user52_1@email.com,052-052-0525,DOG,54600
user53_3@email.com,053-053-0535,DOG,23600
user54_1@email.com,054-054-0545,DOG,40800
user55_3@email.com,055-055-05510,DOG,80100
user56_3@email.com,056-056-0562,DOG,58400
user57_3@email.com,057-057-0573,DOG,60500
user58_2@email.com,058-058-0584,DOG,28300
user59_3@email.com,059-059-05910,DOG,84700
user60_2@email.com,060-060-0601,DOG,43500
user61_3@email.com,061-061-0614,DOG,55100
user62_2@email.com,062-062-0627,DOG,37700
user63_2@email.com,063-063-0636,DOG,60000
user64_3@email.com,064-064-0649,DOG,23400
user65_3@email.com,065-065-0654,DOG,58800
user66_2@email.com,066-066-0669,DOG,65700
user67_1@email.com,067-067-0673,DOG,42600
user68_3@email.com,068-068-0687,DOG,28800
user69_3@email.com,069-069-0692,DOG,40600
user70_1@email.com,070-070-0707,DOG,26400
user71_1@email.com,071-071-0718,DOG,79400
user72_3@email.com,072-072-0722,DOG,40400
user73_1@email.com,073-073-0739,BIRD,28500
user74_1@email.com,074-074-0741,CAT,51200
user75_2@email.com,075-075-0755,DOG,37000
user76_3@email.com,076-076-0763,DOG,51000
user77_3@email.com,077-077-0771,DOG,34500
user78_2@email.com,078-078-0788,DOG,37100
user79_1@email.com,079-079-07910,DOG,70500
user80_1@email.com,080-080-0808,DOG,52100
user81_1@email.com,081-081-0815,DOG,46400
user82_3@email.com,082-082-0823,DOG,78100
user83_3@email.com,083-083-0838,DOG,44800
user84_2@email.com,084-084-0846,DOG,30900
user85_3@email.com,085-085-0852,DOG,77000
user86_1@email.com,086-086-08610,DOG,27700
user87_2@email.com,087-087-0873,DOG,80900
user88_3@email.com,088-088-0885,DOG,73700
user89_3@email.com,089-089-0899,DOG,71000
user90_3@email.com,090-090-0907,DOG,47600
user91_3@email.com,091-091-0914,DOG,55500
user92_2@email.com,092-092-0927,DOG,37000
user93_2@email.com,093-093-0936,DOG,68200
user94_2@email.com,094-094-0947,DOG,31000
user95_3@email.com,095-095-0954,DOG,53000
user96_3@email.com,096-096-0963,DOG,28600
user97_2@email.com,097-097-0976,DOG,20100
user98_3@email.com,098-098-0985,DOG,82600
user99_2@email.com,099-099-0994,DOG,22200
user100_2@email.com,100-100-1002,DOG,62000
user101_1@email.com,101-101-1019,DOG,65600
user102_1@email.com,102-102-1026,DOG,63800
user103_2@email.com,103-103-1032,DOG,77800
user104_1@email.com,104-104-1043,DOG,27700
user105_3@email.com,105-105-1054,CAT,66000
user106_3@email.com,106-106-1062,DOG,50700
user107_1@email.com,107-107-1073,DOG,41100
user108_3@email.com,108-108-1082,DOG,43600
user109_1@email.com,109-109-1096,DOG,68900
user110_1@email.com,110-110-1105,DOG,39200
user111_1@email.com,111-111-1118,DOG,52800
user112_3@email.com,112-112-1127,CAT,23700
user113_3@email.com,113-113-1139,DOG,32500
user114_2@email.com,114-114-1145,DOG,60100
user115_1@email.com,115-115-1153,DOG,24700
user116_1@email.com,116-116-1168,DOG,50100
user117_3@email.com,117-117-1175,DOG,26400
user118_3@email.com,118-118-1187,DOG,65100
user119_2@email.com,119-119-1191,DOG,33100
user120_2@email.com,120-120-12010,CAT,59600
user121_3@email.com,121-121-1219,DOG,66300
user122_1@email.com,122-122-1227,DOG,27800
user123_2@email.com,123-123-1238,DOG,42200
user124_2@email.com,124-124-1249,DOG,74800
user125_1@email.com,125-125-1253,DOG,28200
user126_3@email.com,126-126-1265,DOG,83900
user127_2@email.com,127-127-1277,DOG,83500
user128_2@email.com,128-128-12810,DOG,21900
user129_3@email.com,129-129-1291,DOG,81000
user130_1@email.com,130-130-1301,DOG,23300
user131_2@email.com,131-131-1319,DOG,37300
user132_2@email.com,132-132-1326,DOG,44600
user133_1@email.com,133-133-1337,DOG,22500
user134_1@email.com,134-134-13410,DOG,76100
user135_2@email.com,135-135-1356,DOG,81400
user136_3@email.com,136-136-1365,DOG,64100
user137_3@email.com,137-137-1371,DOG,80900
user138_3@email.com,138-138-1389,DOG,23200
user139_3@email.com,139-139-1391,DOG,51800
user140_1@email.com,140-140-1405,DOG,83300
user141_3@email.com,141-141-1414,DOG,63600
user142_2@email.com,142-142-1427,DOG,30200
user143_2@email.com,143-143-14310,DOG,72200
user144_1@email.com,144-144-1442,DOG,70400
user145_2@email.com,145-145-1451,DOG,28700
user146_3@email.com,146-146-1468,DOG,65300
user147_1@email.com,147-147-1478,DOG,61500
user148_2@email.com,148-148-1481,DOG,69500
user149_1@email.com,149-149-1499,DOG,48000
user150_3@email.com,150-150-1508,DOG,78600
user151_3@email.com,151-151-1519,DOG,40800
user152_2@email.com,152-152-15210,CAT,64100
user153_1@email.com,153-153-1531,DOG,47700
user154_2@email.com,154-154-1545,DOG,50600
user155_1@email.com,155-155-1554,DOG,69500
user156_2@email.com,156-156-1567,CAT,80700
user157_3@email.com,157-157-1576,DOG,83400
user158_3@email.com,158-158-1584,DOG,64700
user159_2@email.com,159-159-1593,DOG,59900
user160_3@email.com,160-160-1604,CAT,23500
user161_2@email.com,161-161-1618,CAT,70800
user162_1@email.com,162-162-1621,DOG,23800
user163_1@email.com,163-163-1632,DOG,78000
user164_1@email.com,164-164-1642,DOG,34800
user165_2@email.com,165-165-1653,CAT,47100
user166_2@email.com,166-166-1667,BIRD,60300
user167_1@email.com,167-167-1671,DOG,76000
user168_2@email.com,168-168-1688,CAT,37000
user169_2@email.com,169-169-1691,DOG,81500
user170_1@email.com,170-170-1702,DOG,67600
user171_1@email.com,171-171-17110,DOG,84300
user172_1@email.com,172-172-1728,DOG,57000
user173_1@email.com,173-173-17310,DOG,82200
user174_1@email.com,174-174-1743,DOG,84300
user175_3@email.com,175-175-17510,DOG,37000
user176_2@email.com,176-176-1769,BIRD,63100
user177_3@email.com,177-177-1779,DOG,41800
user178_2@email.com,178-178-1786,DOG,82900
user179_3@email.com,179-179-1794,DOG,81400
user180_2@email.com,180-180-1804,DOG,76900
user181_2@email.com,181-181-1812,DOG,72200
user182_2@email.com,182-182-1826,DOG,56800
user183_2@email.com,183-183-1833,DOG,28600
user184_1@email.com,184-184-1849,DOG,35600
user185_2@email.com,185-185-1852,DOG,36500
user186_2@email.com,186-186-1869,DOG,36200
user187_3@email.com,187-187-1876,DOG,44700
user188_3@email.com,188-188-1888,DOG,77400
user189_3@email.com,189-189-1892,DOG,24100
user190_3@email.com,190-190-1906,DOG,37100
user191_3@email.com,191-191-1918,DOG,76200
user192_2@email.com,192-192-1921,DOG,39500
user193_1@email.com,193-193-1936,DOG,64700
user194_1@email.com,194-194-1943,DOG,23300
user195_1@email.com,195-195-1959,DOG,22100
user196_3@email.com,196-196-1964,DOG,64700
user197_1@email.com,197-197-1977,DOG,61000
user198_2@email.com,198-198-1984,DOG,82000
user199_2@email.com,199-199-1993,BIRD,76000
user200_3@email.com,200-200-2005,CAT,69100
user201_2@email.com,201-201-2014,DOG,37300
user202_2@email.com,202-202-2028,CAT,79400
user203_2@email.com,203-203-2038,DOG,68700
user204_2@email.com,204-204-2043,DOG,32300
user205_3@email.com,205-205-2059,DOG,45300
user206_1@email.com,206-206-2065,DOG,32700
user207_1@email.com,207-207-20710,CAT,80900
user208_1@email.com,208-208-2081,DOG,77400
user209_3@email.com,209-209-2091,DOG,31300
user210_3@email.com,210-210-2108,BIRD,54600
user211_3@email.com,211-211-2115,DOG,34400
user212_3@email.com,212-212-2127,CAT,48300
user213_1@email.com,213-213-2139,CAT,67200
