EMAIL,IS_SUBSCRIBED
user0_1@email.com,0
user1_3@email.com,0
user2_1@email.com,1
user3_3@email.com,0
user4_2@email.com,0
user5_1@email.com,1
user6_3@email.com,1
user7_3@email.com,0
user8_3@email.com,1
user9_2@email.com,0
user10_1@email.com,0
user11_1@email.com,1
user12_1@email.com,0
user13_2@email.com,0
user14_1@email.com,1
user15_3@email.com,0
user16_3@email.com,0
user17_2@email.com,1
user18_2@email.com,0
user19_2@email.com,0
user20_2@email.com,1
user21_3@email.com,0
user22_2@email.com,1
user23_3@email.com,1
user24_1@email.com,1
user25_3@email.com,1
user26_3@email.com,1
user27_1@email.com,0
user28_3@email.com,1
user29_1@email.com,1
user30_1@email.com,1
user31_3@email.com,1
user32_1@email.com,1
user33_3@email.com,0
user34_2@email.com,1
user35_2@email.com,1
user36_1@email.com,0
user37_2@email.com,1
user38_1@email.com,1
user39_1@email.com,1
user40_3@email.com,1
user41_2@email.com,0
user42_3@email.com,0
user43_2@email.com,0
user44_2@email.com,0
user45_3@email.com,0
user46_3@email.com,0
user47_1@email.com,0
user48_2@email.com,1
user49_2@email.com,0
user50_3@email.com,1
user51_1@email.com,1
user52_1@email.com,1
user53_3@email.com,0
user54_2@email.com,0
user55_2@email.com,1
user56_2@email.com,0
user57_3@email.com,1
user58_2@email.com,0
user59_3@email.com,0
user60_2@email.com,0
user61_1@email.com,1
user62_3@email.com,1
user63_3@email.com,0
user64_1@email.com,1
user65_1@email.com,0
user66_3@email.com,1
user67_1@email.com,1
user68_2@email.com,0
user69_2@email.com,1
user70_1@email.com,0
user71_3@email.com,1
user72_2@email.com,1
user73_3@email.com,1
user74_1@email.com,0
user75_3@email.com,0
user76_1@email.com,1
user77_2@email.com,1
user78_3@email.com,0
user79_1@email.com,1
user80_1@email.com,0
user81_3@email.com,0
user82_2@email.com,1
user83_3@email.com,1
user84_1@email.com,1
user85_1@email.com,1
user86_1@email.com,1
user87_1@email.com,0
user88_3@email.com,0
user89_2@email.com,1
user90_2@email.com,1
user91_3@email.com,0
user92_3@email.com,0
user93_1@email.com,0
user94_3@email.com,0
user95_3@email.com,0
user96_1@email.com,1
user97_2@email.com,0
user98_2@email.com,0
user99_2@email.com,0
user100_1@email.com,0
user101_2@email.com,0
user102_2@email.com,0
user103_1@email.com,1
user104_2@email.com,1
user105_3@email.com,1
user106_2@email.com,0
user107_3@email.com,0
user108_3@email.com,0
user109_3@email.com,1
user110_3@email.com,1
user111_3@email.com,0
user112_2@email.com,1
user113_1@email.com,1
user114_1@email.com,0
user115_3@email.com,0
user116_1@email.com,0
user117_1@email.com,1
user118_3@email.com,1
user119_1@email.com,1
user120_1@email.com,1
user121_1@email.com,0
user122_3@email.com,1
user123_3@email.com,0
user124_2@email.com,0
user125_3@email.com,1
user126_2@email.com,0
user127_1@email.com,0
user128_1@email.com,1
user129_3@email.com,1
user130_3@email.com,1
user131_1@email.com,0
user132_3@email.com,1
user133_3@email.com,1
user134_3@email.com,0
user135_2@email.com,0
user136_1@email.com,0
user137_1@email.com,1
user138_3@email.com,1
user139_2@email.com,1
user140_1@email.com,1
user141_2@email.com,0
user142_2@email.com,1
user143_2@email.com,0
user144_1@email.com,1
user145_2@email.com,1
user146_1@email.com,1
user147_1@email.com,1
user148_1@email.com,0
user149_3@email.com,1
user150_1@email.com,0
user151_2@email.com,0
user152_2@email.com,0
user153_1@email.com,0
user154_1@email.com,0
user155_3@email.com,0
user156_1@email.com,0
user157_2@email.com,1
user158_3@email.com,1
user159_2@email.com,1
user160_1@email.com,1
user161_1@email.com,1
user162_3@email.com,1
user163_3@email.com,0
user164_2@email.com,1
user165_2@email.com,1
user166_3@email.com,1
user167_1@email.com,1
user168_3@email.com,1
user169_1@email.com,0
user170_3@email.com,0
user171_3@email.com,1
user172_3@email.com,0
user173_2@email.com,0
user174_2@email.com,0
user175_2@email.com,0
user176_3@email.com,1
user177_1@email.com,1
user178_2@email.com,1
user179_2@email.com,0
user180_3@email.com,0
user181_1@email.com,0
user182_3@email.com,1
user183_1@email.com,1
user184_1@email.com,1
user185_3@email.com,0
user186_3@email.com,1
user187_2@email.com,0
user188_1@email.com,0
user189_2@email.com,1
user190_2@email.com,1
user191_2@email.com,1
user192_2@email.com,1
user193_2@email.com,0
user194_2@email.com,1
user195_2@email.com,0
user196_1@email.com,0
user197_2@email.com,0
user198_3@email.com,0
user199_2@email.com,1
user200_3@email.com,1
user201_1@email.com,1
user202_1@email.com,0
user203_1@email.com,1
user204_1@email.com,1
user205_2@email.com,0
user206_1@email.com,1
user207_1@email.com,1
user208_3@email.com,1
user209_3@email.com,1
user210_2@email.com,0
user211_3@email.com,1
user212_2@email.com,1
user213_2@email.com,1
user214_3@email.com,1
user215_2@email.com,0
user216_3@email.com,0
user217_1@email.com,1
user218_2@email.com,0
user219_2@email.com,0
user220_3@email.com,0
user221_2@email.com,1
user222_3@email.com,1
user223_3@email.com,1
user224_2@email.com,0
user225_2@email.com,0
user226_2@email.com,0
user227_1@email.com,1
user228_1@email.com,1
user229_3@email.com,1
user230_2@email.com,1
user231_1@email.com,0
user232_3@email.com,0
user233_3@email.com,1
user234_1@email.com,1
user235_1@email.com,0
user236_2@email.com,0
user237_1@email.com,0
user238_2@email.com,1
user239_1@email.com,1
user240_2@email.com,1
user241_3@email.com,1
user242_1@email.com,0
user243_2@email.com,1
user244_1@email.com,0
user245_1@email.com,0
user246_2@email.com,1
user247_3@email.com,1
user248_1@email.com,0
user249_2@email.com,1
user250_1@email.com,0
user251_1@email.com,0
user252_2@email.com,1
user253_2@email.com,0
user254_1@email.com,0
user255_3@email.com,0
user256_1@email.com,1
user257_3@email.com,0
user258_3@email.com,1
user259_2@email.com,0
user260_3@email.com,1
user261_1@email.com,0
user262_2@email.com,0
user263_3@email.com,0
user264_2@email.com,0
user265_1@email.com,1
user266_1@email.com,1
user267_2@email.com,1
user268_1@email.com,0
user269_2@email.com,0
user270_2@email.com,1
user271_2@email.com,1
user272_2@email.com,1
user273_2@email.com,1
user274_3@email.com,1
user275_2@email.com,1
user276_1@email.com,0
user277_2@email.com,0
user278_3@email.com,1
user279_2@email.com,1
user280_3@email.com,0
user281_3@email.com,0
user282_3@email.com,1
user283_2@email.com,0
user284_1@email.com,1
user285_2@email.com,1
user286_1@email.com,1
user287_2@email.com,1
user288_1@email.com,0
user289_2@email.com,0
user290_3@email.com,0
user291_3@email.com,1
user292_1@email.com,0
user293_3@email.com,0
user294_1@email.com,0
user295_1@email.com,0
user296_3@email.com,1
user297_3@email.com,1
user298_2@email.com,0
user299_1@email.com,1
user300_3@email.com,1
user301_2@email.com,0
user302_3@email.com,1
user303_2@email.com,0
user304_1@email.com,1
user305_3@email.com,1
user306_1@email.com,1
user307_3@email.com,0
user308_3@email.com,0
user309_1@email.com,1
user310_1@email.com,1
user311_2@email.com,1
